ESRRA
BUB1
KPNA4
CDKN3
ABCG2
MYCN
HIST1H2BK
RIT1
RHOD
TSPAN5
SPC25
HIST1H2BD
EPOR
TPX2
MYL4
RPL39L
ST20
MS4A3
CRISP2
GPR18
P2RX1
RHD
ICOS
GATA1
KLF1
AKAP12
BIRC3
FBXO9
EPB42
CALCOCO2
PFKM
ZNF271P
DOK1
ACSL6
NSMCE4A
SC5D
ALAS2
LRIG1
IGHG1
MAK16
IGLJ3
IGK
ARL6IP1
MKI67
TPGS2
PEG10
NIPA2
GCN1
MCM4
RBM12
PIK3R1
NUP205
ATP13A3
SEL1L3
NUP210
SGSM2
TUG1
MYH10
RBM38
GPD1L
SPIDR
MGRN1
JCHAIN
TSFM
MDN1
NUP160
NCAPD3
NCAPH
RPIA
FANCI
RNF19B
ROCK1
DNAJC9
TMCC2
KIAA0556
MARCH3
MBOAT2
SRC
ERI2
TMEM246
MFHAS1
GUSBP11
RECQL4
CCNE1
B3GNTL1
OIP5
SRRD
DNA2
PON3
LOC440434
SELENBP1
ETS1
HIST1H2AE
HIST1H2AM
CCNB1
IGHD
IGLV6-57
TRIM58
HIST1H2AC
EXOSC8
TSPO2
HYMAI
UBQLN2
CD72
IGLL3P
IGLV1-44
NDRG3
SKA1
RTF2
NAA50
SNX6
UBE2J1
NSFL1C
PPME1
HIGD1A
FAM192A
MAP7D1
HSD17B11
PRC1
FAM53C
NUSAP1
NDC1
CMAS
RBX1
RMDN3
CHMP1B
ARMC1
REXO2
FN3KRP
ING4
CKAP2
FBRS
STYXL1
ZC3H7A
GMNN
KIF4A
TIMM10
TMUB2
STEAP3
C19orf66
VIPAS39
DNAJC15
GID8
TOR3A
ALAD
EIF2B3
SNRNP25
MAP1S
FHOD1
FBXO34
CEP55
RCL1
MRPL39
DTL
NUP37
SLC25A15
CWC25
NCAPG
ATP5IF1
APIP
GINS3
HJURP
LXN
CENPM
KIF20A
NUP107
HOOK2
ATAD2
MOSPD1
POLR3K
FBXO5
CENPU
NOC3L
C9orf40
ARID3B
C1RL
SLC35E3
MIS18A
PBK
EMC9
ZNF331
SSH3
MRPL46
TIPIN
ZNF350
C3orf14
KIF15
NOL12
SLC29A3
CIDEC
ELMO3
SHCBP1
RIOX1
CLIC3
RTN3
CENPN
NCAPG2
ERCC6L
AHSP
PCDH9
GTDC1
ECT2
MAPKAPK5-AS1
MRPS28
ERMAP
ASPM
KIZ
MRM1
E2F8
ASB7
LMBR1L
VPREB3
HELLS
AIDA
ZNF669
GDPD2
DEPDC1
SAMSN1
SLC25A21
MRPL20
RETN
MCM10
FAXDC2
HBQ1
PDSS1
ST6GALNAC4
RAB33B
PLA2G12A
RNF123
KIF18A
LMAN2L
VPREB1
S1PR5
CDCA3
TMEM14B
CDCA8
GINS2
MIS12
F11R
CHPT1
DONSON
SPDL1
CHPF2
RANBP10
ORAI3
GLRX5
TRMT5
KIF18B
RACGAP1
MRPL17
PDCD4-AS1
