,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
KIAA0930,-0.345503678072533,6.21076663353363,-1.55658210651912,0.126581381273877,0.247515193432113,-5.70958705815363,Not
SFN,-0.0676257342432693,2.80657579256691,-1.5563363699954,0.126639756527482,0.247569806375616,-5.70995419210177,Not
NT5M,0.127351294404866,2.57282888127072,1.55629649166811,0.126649231754679,0.247569806375616,-5.71001376600224,Not
ZNF749,0.0710759626005419,3.25556597237568,1.55612580858243,0.12668979308652,0.247610069910512,-5.71026873257282,Not
TMPRSS11D,-0.0286615125737386,2.60993749929552,-1.55557477385794,0.126820812979677,0.24782709049739,-5.7110916976514,Not
KIAA0895,0.120232372939304,3.69934883397996,1.55535877973327,0.126872199776484,0.247888452083764,-5.71141421149605,Not
FBXO21,-0.400104416300484,6.18324489260836,-1.55501271491942,0.126954566387465,0.24801031452256,-5.7119308579979,Not
UROS,0.436383690497837,6.92848762762908,1.55431836867876,0.127119956914304,0.248294303245372,-5.71296714923231,Not
ALKBH4,0.141138867613941,5.1876166717894,1.55397906734322,0.127200840159127,0.248413166508212,-5.71347339544704,Not
SH3GLB1,0.261653169450181,8.38009426092799,1.55359286244122,0.127292954719365,0.248495129566296,-5.71404950232963,Not
NTF3,0.0696214346077526,2.50188215256114,1.55357225823398,0.127297870579967,0.248495129566296,-5.71408023428466,Not
POLD1,0.347341188404691,6.12005602844327,1.55351199503539,0.127312249368469,0.248495129566296,-5.71417011702798,Not
ELOA2,0.0784209592818503,3.721776756232,1.55346715113274,0.127322949963219,0.248495129566296,-5.71423699981501,Not
IMPA2,-0.352686104151198,8.19327346884987,-1.55198168403633,0.127677819178287,0.249148519708669,-5.71645153226043,Not
CTAGE11P,0.0331179862308919,2.96496591095143,1.55176873763499,0.127728755901301,0.249208708422815,-5.71676883670547,Not
FAM174B,0.0928379219495787,2.62384800175611,1.55083356822966,0.127952641593884,0.249583533062254,-5.71816183941401,Not
LGI2,-0.208339510967366,4.97152827211243,-1.55079820829924,0.127961113177689,0.249583533062254,-5.71821449581185,Not
DUT,0.539284768820734,5.35265917873505,1.55060454136507,0.128007520180865,0.249634791321268,-5.71850287667835,Not
ZFAND5,-0.194340675573006,10.9422209282306,-1.55039444064695,0.128057880387636,0.249693390264328,-5.71881569181369,Not
ANKRD6,0.224090533113402,4.05409321048845,1.55027658703118,0.128086136344442,0.249693390264328,-5.71899114526301,Not
HMGB2,-0.336486469054673,11.6683905256814,-1.55022726267364,0.128097963577515,0.249693390264328,-5.71906457287788,Not
NES,0.0454174988912861,2.44400938215149,1.5500394697545,0.128143001503796,0.249741930806346,-5.7193441150835,Not
VASH1-AS1,0.114319350041345,4.9221519221216,1.54955017675185,0.128260407241775,0.24993147384442,-5.72007231737868,Not
SYNPO2L,0.031927079314122,3.1651121751858,1.54859482862035,0.128489891909734,0.250306450495821,-5.72149354281899,Not
MAGEA6,0.0375332637134038,2.87497591749151,1.54855654838436,0.128499094093675,0.250306450495821,-5.72155047408919,Not
SH2D1A,-0.698470340603427,6.20443418290489,-1.54848621106609,0.128516003858031,0.250306450495821,-5.72165507811533,Not
CASZ1,0.149636701926503,6.99237526412738,1.54841318004279,0.128533563106336,0.250306450495821,-5.72176368364365,Not
FUT9,0.0525349912828728,3.18304087484307,1.54782396675411,0.128675301386105,0.250543133923369,-5.7226397433371,Not
HTR2A,0.0532661131388821,2.46663633208594,1.5471667177953,0.128833554084939,0.250811893158923,-5.72361660727836,Not
B3GNT4,0.0751229884463358,4.63990299903397,1.54684462073783,0.128911165807696,0.250923601618464,-5.72409520158273,Not
SULF1,0.0393361927514415,2.86193168280706,1.54616970594633,0.12907391338971,0.251185681741183,-5.72509774695123,Not
CEP250,0.0525732544880415,3.77262287121739,1.54606736095001,0.129098607052978,0.251185681741183,-5.72524973998801,Not
FAT2,0.0547593801425466,2.45836237930299,1.54603438344303,0.129106564629529,0.251185681741183,-5.72529871311454,Not
SGCD,0.162343253749638,4.74452023833492,1.54580427101099,0.129162102447956,0.251218160150704,-5.72564041463282,Not
CA5BP1,0.228991915066646,2.56157118253329,1.54579737369101,0.129163767417644,0.251218160150704,-5.72565065598504,Not
SUGP1,0.150803964734736,6.73765041580197,1.54532184463236,0.129278598694758,0.251393082974275,-5.72635663716698,Not
DYRK1A,-0.170694987200839,9.40407098350374,-1.54525709262944,0.129294241416827,0.251393082974275,-5.72645275436331,Not
ASPM,-0.893745808432693,4.42250481627785,-1.54486264051101,0.129389565575473,0.251538994017647,-5.72703819683098,Not
RAD23B,-0.303649490223918,8.95049087062568,-1.54421379031881,0.129546490836322,0.251804595806755,-5.72800092271848,Not
CRYBA1,0.018594713826082,2.17344376558458,1.54383208559313,0.129638877955773,0.251944688700322,-5.72856710410702,Not
TMEM50A,-0.16766995973618,8.68330395814844,-1.54355864123268,0.129705094433585,0.252033884734413,-5.72897262594788,Not
ATP9A,0.453460755733233,3.55592741590115,1.54276410468487,0.129897651066697,0.252350527994779,-5.73015056868456,Not
MED16,0.17763221860505,5.24813929857405,1.54271837144824,0.129908741534037,0.252350527994779,-5.73021835405923,Not
BRD1,-0.265967221676982,7.33080788591236,-1.54208335688534,0.130062813273596,0.252610252588853,-5.73115938012122,Not
MSTN,0.0848164958917068,3.61188044456624,1.54195174851064,0.130094763362695,0.252632746201269,-5.73135436660577,Not
VDR,-0.244592974072957,4.63299414499592,-1.5413015165494,0.130252710230289,0.252899869284013,-5.73231750868308,Not
HIST1H4E,0.354594802143148,2.44143429869837,1.54029485676528,0.130497539783169,0.253335574570457,-5.7338078817281,Not
