,sample,Activated CD8 T cell,Central memory CD8 T cell,Effector memeory CD8 T cell,Activated CD4 T cell,Central memory CD4 T cell,Effector memeory CD4 T cell,T follicular helper cell,Gamma delta T cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell,Regulatory T cell,Activated B cell,Immature  B cell,Memory B cell,Natural killer cell,CD56bright natural killer cell,CD56dim natural killer cell,Myeloid derived suppressor cell,Natural killer T cell,Activated dendritic cell,Plasmacytoid dendritic cell,Immature dendritic cell,Macrophage,Eosinophil,Mast cell,Monocyte,Neutrophil,group
35,TCGA.AB.2988.03B,0.254167339809285,0.252331474835173,0.228078225191701,0.236142476043292,0.497956103241253,0.221486031035736,0.112650072040233,0.257995596928028,0.121982545606697,-0.11363842925635,0.132174498570865,0.192659297457425,0.146721598497128,0.147814426190121,0.219658518840772,0.140062224135047,0.201730441301459,0.177190765316596,0.43673960261104,0.0641091785089929,0.216182729816998,0.472374667870285,0.378261116471239,0.186793321595851,0.131619336264053,0.205528068511988,0.363103480982095,-0.148255664172523,High
36,TCGA.AB.2916.03A,0.405063623840081,0.372532375091814,0.368609531728652,0.265440377102546,0.542257431806149,0.305699459921018,0.272781962196661,0.347726552322864,0.219794555839892,-0.017142940376115,0.0983588523597121,0.438593087707573,0.144199347076056,0.352186888321918,0.241814188266808,0.236703118955448,0.19687747033322,0.233117717857009,0.673246521627458,0.174322878767287,0.36375874011036,0.505996644086893,0.366473053654664,0.362269735917102,0.272060120054916,0.317010472981373,0.534121570279434,0.410202132780445,High
37,TCGA.AB.2966.03A,0.350231257906849,0.178018099285603,0.249239337483815,0.267481723961903,0.457384020937767,0.27045989644518,0.0935236022495761,0.244887463290698,0.12950924856224,-0.0230844088975137,0.108093869235957,0.0879151510476608,0.167168000328987,0.195916523437699,0.201317336091868,0.158528173510255,0.195762438922428,0.133332730346392,0.325522734930914,0.0601242644260391,0.206231134502671,0.429342686172059,0.307641381524719,-0.0512593748887081,0.104662324255805,0.0863916534016621,0.346098138347912,-0.23161788078667,High
38,TCGA.AB.2806.03A,0.263235216455128,0.222051931178825,0.262101315551004,0.28117341315141,0.410654735051541,0.255903460719615,0.0480543396653751,0.241016248476162,0.136458947063841,-0.0772948752578788,0.150384505563743,0.227653944084119,0.105018694499856,0.107147262983183,0.260711159135811,0.10634723300064,0.165346372300062,0.111226446779685,0.315793787906,0.0360478984765106,0.200665138939386,0.366147444417297,0.345331043762733,0.00555246693499643,0.16716490122621,0.247957804753007,0.319940918886866,-0.0863512073164364,High
39,TCGA.AB.3009.03A,0.318093757928084,0.262045817445145,0.227625135016383,0.20591814100765,0.497384005481275,0.262920250469296,0.153676642158989,0.198216721715268,0.15010297823876,-0.103834093413645,0.100730782419985,0.191229831702519,0.155685930754922,0.170549655224161,0.218338313836998,0.187402069202811,0.160099997973842,0.153796138738263,0.373095423951851,0.0857208548059716,0.221909584386645,0.452811964520496,0.363309854898385,0.0186093434609739,0.144077742026992,0.17623502969143,0.352737789893258,-0.166247701658943,High
40,TCGA.AB.2859.03A,0.476950013266943,0.275112894524225,0.286560692625561,0.25003101482341,0.543425849864268,0.319004209179202,0.133191064517411,0.287729604847661,0.21642893475812,-0.0425668122671733,0.045868132223849,0.199079351060781,0.134747552646448,0.18970605624728,0.200616655602485,0.154588022054104,0.198628307124429,0.154883817669786,0.500340662205916,0.108970735840192,0.270015498057583,0.493171946885264,0.342566443838317,0.165765385739142,0.0886408141221189,0.236599539214499,0.41613553485341,-0.106306049549668,High
41,TCGA.AB.2933.03A,0.314504469702297,0.353716161510526,0.301689778163478,0.31328866520075,0.49778322260236,0.337865591746558,0.246651651766246,0.314974420910319,0.162657617292483,-0.0747705729323433,0.141215851777037,0.30403896609589,0.252399818192023,0.368516457956227,0.328869877040715,0.207905358402253,0.186006994919911,0.177505587585146,0.601312267390069,0.105793494456976,0.343367978686006,0.496645584848122,0.349728924264569,0.332429275581108,0.242164017523266,0.319873028741404,0.491464692510048,0.243496000604062,High
42,TCGA.AB.2959.03A,0.375797896454079,0.23626871900615,0.280324541217644,0.354360714895508,0.511215415313392,0.296788279977582,0.139339053530638,0.244780405706933,0.140526763488207,-0.0437828328888578,0.208531105195264,0.196868356043445,0.199596588437254,0.275901695272039,0.253934757851618,0.199621193697392,0.150284949832645,0.164498331022665,0.408844860128239,0.117366399720403,0.22683059326177,0.412086888678197,0.32027182469047,0.0427198030467252,0.190230275793918,0.183735037880504,0.347098875731622,-0.233609065315479,High
43,TCGA.AB.2929.03A,0.40570756562004,0.275176458116342,0.264949060027509,0.207180219491352,0.516346986554651,0.299900597376832,0.139038574748423,0.263322602049825,0.157543124765511,-0.0418827901863552,0.12637735853014,0.276098976716047,0.14002917848525,0.216421685589983,0.222003866889915,0.202788902392807,0.198039444288585,0.193956923926848,0.523623399872759,0.119192834534273,0.297598361006502,0.452219637047021,0.30922460194463,0.183645293930408,0.0398918169019873,0.163686995853582,0.398686303115943,0.0281627482585586,High
44,TCGA.AB.3001.03A,0.474669594347234,0.293675565177969,0.238975772724283,0.206585156507008,0.506476614625057,0.21739105331284,0.104575753538264,0.241232216658819,0.158213787712826,0.0584721039623064,0.0089364704614894,0.214709906249514,0.0971135913120872,0.235730667464969,0.235208784401176,0.140443446867255,0.220461357027417,0.173118782483409,0.493007217993866,0.108955076646092,0.272508475032661,0.433074933300106,0.33436727422012,0.0901649308735614,0.142576509209868,0.36731234192992,0.444667720363646,0.0061947114159824,High
