,GSM239323,GSM239324,GSM239326,GSM239328,GSM239329,GSM239331,GSM239332,GSM239333,GSM239334,GSM239335,GSM239345,GSM239346,GSM239348,GSM239363,GSM239371,GSM239460,GSM239485,GSM239487,GSM239488,GSM239489,GSM239490,GSM239491,GSM239492,GSM239493,GSM239494,GSM239495,GSM239496,GSM239497,GSM239498,GSM239516,GSM239520,GSM239580,GSM240405,GSM240406,GSM240427,GSM240429,GSM240430,GSM240431,GSM240432,GSM240433,GSM240494,GSM240495,GSM240496,GSM240497,GSM240498,GSM240499
CYP2A6,2.94098203234375,2.95953646576563,2.93789096028125,2.98552662220313,2.94230484817187,2.91815190903125,2.95077425840625,2.8682367826875,2.91248940825,2.96280434335937,2.96556128375,2.92656364507812,2.89203969132812,2.9960876289375,2.95751350940625,3.18155785582813,2.93527169820312,3.01744585021875,2.93419802307813,3.64131527073437,2.90379512898437,2.94046131639062,3.00357867165625,2.93968077703125,2.8993380183125,2.9500016883125,2.88216915482813,3.30869037515625,3.03012522384375,3.11343025825,2.89496188007812,2.95136295710937,2.95972433996875,2.91341423292188,2.93076304117188,2.9377226090625,2.92428891109375,2.953812025625,2.91956348221875,3.00124986576563,2.88844940742187,2.934905835125,2.97033693923437,2.93243388675,2.9413300968125,2.94979107923437
GAS6,6.5404439604375,6.08552664146875,6.0301612471875,6.08826691484375,6.67376074278125,6.38967098909375,6.3229633840625,6.38682305678125,6.47254004251563,6.18459254273438,6.23896691140625,7.02329588415625,6.35994615678125,6.39451157520312,6.33503150576562,7.7276325784375,6.23454720792188,6.46135280773438,6.65223140139063,7.09204711115625,5.94234515940625,6.336035354375,6.1893894755,6.36747935329687,6.2872157065625,6.49091937234375,6.27622463792188,6.7789877703125,7.24811709801562,6.65091238075,6.56896339557813,5.87681390948438,5.30031767890625,6.77947829039063,6.80423687539063,6.196351818625,6.36033167309375,6.36977566648437,6.215292606,6.66100742721875,6.49899171260938,6.35918152920313,6.08012164595312,6.18769570715625,6.33423070740625,6.55587707953125
MMP14,4.71536070370312,4.41369396145313,4.44807503934375,4.441437990375,4.40528516039063,4.5527343418125,4.51042442503125,4.53550064865625,4.50509839617188,4.47576874346875,4.87397091232812,4.50200966659375,4.67593350114062,4.74744650273438,4.81185160309375,5.3949803173125,4.576773742875,4.5588285303125,4.83571951223438,5.34572200732813,4.62378918307812,4.6117222794375,4.92039146801562,4.669787348875,4.64261016735937,5.1892210575625,4.61434336157812,5.00064939925,5.67843829175,5.22328996885938,4.64941163675,4.53420467554688,4.11273209095313,4.91121067567188,4.78236125553125,4.62500290817187,4.55389085114062,4.29832874814062,4.5281645326875,4.80240518646875,5.00675366759375,4.74246806970312,4.51118532071875,4.29061150301562,4.39405582514062,4.72614760592188
TRADD,6.27539925857813,6.65910370179687,6.96316657320313,6.79865416296875,6.306331997875,6.01153477117187,6.19376426242188,6.45130136585937,6.38639168679688,6.27198605546875,6.02146455196875,6.95059568460938,6.74057046554687,5.45419371246875,5.83253807585938,5.547304536375,5.84462303689063,6.23589520707812,6.44788626401562,6.20588019740625,6.30252263185938,4.92525647754688,6.02233287242187,6.18182617745313,6.03777500578125,5.65878412182813,5.35835298757813,6.03777500578125,6.61193505673438,6.5969540013125,6.24651606073437,6.41193714471875,6.37426142470312,6.15948506629687,5.71569300207813,6.2757570664375,7.70539037175,7.44749801029687,7.65185485689063,7.14400549582813,7.6621381771875,7.93646152051562,7.56444269717187,6.9588741971875,7.91228195878125,7.52334369946875
PLD1,3.69894376854687,3.380752399125,3.16765002835937,3.38904304660938,3.53242060698437,3.48356063117187,3.35343869729688,3.42630729275,3.52370299753125,3.38170464725,3.4130490276875,4.65747653321875,4.71536070370312,3.81137402720312,3.49288878529687,3.4533064335625,3.49168246239062,3.29590102226563,3.45132612265625,3.64949788582812,4.1896460110625,3.61436628992187,3.84499358440625,3.85605086767187,3.4931677586875,3.62533962917187,3.84838959728125,3.74397489029688,3.4063668924375,3.50217454134375,3.272100909125,3.39138104942188,4.36143330234375,3.88562513292187,3.46758352942188,3.95533534176562,3.34711205528125,3.52678606660937,3.26054369826563,3.37987585929688,3.28241980225,3.17499908210937,3.39489943895313,3.34735762696875,3.45107478548438,3.28665646773438
DTX2P1-UPK3BP1-PMS2P11,6.834305724625,6.469810727125,6.48590662079688,6.42508258589062,6.5300381531875,6.56657998392187,6.53562883929687,6.47344639273437,6.51900528984375,6.34520561184375,6.537547883875,6.51024823553125,7.09204711115625,6.77625533595312,6.71046236476563,7.0841823603125,6.82032869164062,6.63335420028125,7.080272225,6.8979672468125,6.751452888375,7.02836098532813,6.57092632129688,6.69059723015625,6.64058232854688,6.81835727084375,6.62492098160937,7.19506337796875,6.90336009734375,6.595223325875,6.4156712830625,6.55923453598438,6.1524394013125,6.64951728720312,6.63882920051562,6.43372411692187,6.70286024704687,6.65958687823438,6.4800108010625,7.05815523570312,6.84118667190625,6.685198488875,6.40041312203125,6.4522074606875,6.65867457503125,6.70514023117187
BAD,1.59108953965625,1.653895518875,1.63846975421875,1.62992344267187,1.60767578164063,1.612060257625,1.609803171625,1.56313340059375,1.615644535125,1.63595432270313,1.45653102940625,1.63595432270313,1.62171219975,1.59400168171875,1.60539630670312,1.57949445103125,1.77398669751563,1.62330466478125,1.599068972125,1.60129422221875,2.015146607125,1.88644273690625,1.61878255929687,1.62171219975,1.60767578164063,1.599068972125,1.92105724448437,1.59108953965625,1.57011690895313,1.60129422221875,1.67194752160938,1.6202970464375,1.653895518875,1.59108953965625,1.59400168171875,1.609803171625,1.60767578164063,1.612060257625,1.61708561309375,1.54252437453125,1.62171219975,1.609803171625,1.61878255929687,1.54252437453125,1.612060257625,1.60767578164063
PRPF8,8.70123866667188,8.808684656625,8.7658376933125,9.07869957946875,9.39599276921875,9.20008716775,9.0898440990625,9.11782104335937,9.25602013771875,9.01394396554688,8.51546599501562,8.42663596985937,9.30618920595312,8.578999999375,9.179114397625,8.92653560846875,8.60945926401562,9.18454420526563,8.04372873803125,9.54314471326562,9.693512076375,8.95927467964063,9.62918181876563,9.35758420610938,9.50554295914062,8.79709667054687,9.61362806534375,9.53642375259375,9.12127094457813,8.83452767784375,8.18655648860937,9.6849528950625,9.37585460496875,9.90832920459375,9.82180776667188,9.84035263334375,8.54369474854687,8.578999999375,8.27508881585937,8.64561376964063,8.520894142,8.73452514770313,8.312972425375,7.97775851784375,8.70971991951562,8.56975086554687
CAPNS1,9.84441269909375,9.8341575445625,9.66343873854687,9.92526125703125,10.0070837283125,9.9677934730625,10.1103136313594,10.2427153901562,10.2188090712812,9.95619785629687,9.6771161335,10.3817003675,9.49517435939062,10.1557057584219,10.0150105838125,10.6150596265625,10.3872153592188,10.1229671362031,10.3568458846875,10.0615650125781,10.6150596265625,10.0665511488594,9.96031081989062,10.1922021111563,10.5814865059375,9.5924740268125,10.1922021111563,9.52294790714062,10.5685361815625,10.6309828025,10.8898468220313,10.8604660446875,10.1700193195,11.1296697801563,10.5159646114063,9.44778930576562,9.55426682567187,9.33134517017188,9.30417091440625,9.57579145939063,9.32058469879687,9.7477956319375,9.02599089514062,9.15344805451562,9.39287766370312,9.52192806045312
RPL35,12.9838703326563,12.858905340625,13.0699788603125,12.9749482234375,12.9120884640625,12.5487088785938,12.7690469446875,12.7517551701562,12.8812591385937,12.865545166875,13.2709478990625,12.7759114790625,13.0482040435937,12.3370390257812,13.2061104554687,13.2387819298437,13.2474188275,13.1398485814063,11.7605197921875,13.2709478990625,13.4027012709375,13.1913693764063,13.3844025925,12.616691573125,12.569503826875,13.1479842046875,13.1563139926562,13.3691469234375,12.3871722146875,12.5108060114063,12.6361836010937,13.1563139926562,13.4027012709375,12.9304978607812,12.7607559548438,13.1061057984375,11.5760879329688,12.0612763576563,11.8524482545313,12.18823337875,10.77244892,12.0749192467187,12.2317141357812,11.6591048321875,11.97507277875,11.1087334357813
